,tpr,fpr
0,0,0
1,0.000394737,0
2,0.000657895,0
3,0.000789474,0
4,0.000855263,0
5,0.000921053,0
6,0.001052632,0
7,0.001578947,0
8,0.001644737,0
9,0.002171053,0
10,0.002302632,0
11,0.003026316,0
12,0.003157895,0
13,0.003223684,0
14,0.003684211,0
15,0.003815789,0
16,0.005065789,0
17,0.005065789,1.64E-06
18,0.006513158,1.64E-06
19,0.006513158,3.27E-06
20,0.010460526,3.27E-06
21,0.010460526,4.91E-06
22,0.011710526,4.91E-06
23,0.011710526,6.54E-06
24,0.011973684,6.54E-06
25,0.011973684,8.18E-06
26,0.015921053,8.18E-06
27,0.015921053,9.81E-06
28,0.020328947,9.81E-06
29,0.020328947,1.14E-05
30,0.026184211,1.14E-05
31,0.026842105,1.14E-05
32,0.026842105,1.31E-05
33,0.028881579,1.31E-05
34,0.028881579,1.47E-05
35,0.030394737,1.47E-05
36,0.030394737,1.64E-05
37,0.035,1.64E-05
38,0.035,1.80E-05
39,0.036973684,1.80E-05
40,0.036973684,1.96E-05
41,0.037763158,1.96E-05
42,0.037763158,2.13E-05
43,0.039539474,2.13E-05
44,0.039539474,2.29E-05
45,0.04125,2.29E-05
46,0.04125,2.45E-05
47,0.043026316,2.45E-05
48,0.043026316,2.62E-05
49,0.04375,2.62E-05
50,0.04375,2.78E-05
51,0.044473684,2.78E-05
52,0.044473684,2.94E-05
53,0.044934211,2.94E-05
54,0.044934211,3.11E-05
55,0.046118421,3.11E-05
56,0.046118421,3.27E-05
57,0.047697368,3.27E-05
58,0.047697368,3.43E-05
59,0.049013158,3.43E-05
60,0.049013158,3.60E-05
61,0.049605263,3.60E-05
62,0.049605263,3.76E-05
63,0.049671053,3.76E-05
64,0.049671053,3.92E-05
65,0.050131579,3.92E-05
66,0.050131579,4.09E-05
67,0.051513158,4.09E-05
68,0.051513158,4.25E-05
69,0.052105263,4.25E-05
70,0.052105263,4.41E-05
71,0.05375,4.41E-05
72,0.05375,4.58E-05
73,0.054013158,4.58E-05
74,0.054013158,4.74E-05
75,0.054473684,4.74E-05
76,0.054473684,4.91E-05
77,0.054736842,4.91E-05
78,0.054736842,5.07E-05
79,0.055394737,5.07E-05
80,0.055394737,5.23E-05
81,0.056052632,5.23E-05
82,0.056052632,5.40E-05
83,0.057171053,5.40E-05
84,0.057171053,5.56E-05
85,0.057302632,5.56E-05
86,0.057302632,5.72E-05
87,0.058421053,5.72E-05
88,0.058421053,5.89E-05
89,0.059671053,5.89E-05
90,0.059671053,6.05E-05
91,0.059736842,6.05E-05
92,0.059736842,6.21E-05
93,0.063026316,6.21E-05
94,0.063026316,6.38E-05
95,0.064342105,6.38E-05
96,0.064342105,6.54E-05
97,0.065328947,6.54E-05
98,0.065328947,6.70E-05
99,0.066710526,6.70E-05
100,0.066710526,6.87E-05
101,0.068618421,6.87E-05
102,0.068618421,7.03E-05
103,0.069342105,7.03E-05
104,0.069342105,7.19E-05
105,0.07,7.19E-05
106,0.07,7.36E-05
107,0.071118421,7.36E-05
108,0.071118421,7.52E-05
109,0.072105263,7.52E-05
110,0.072105263,7.69E-05
111,0.072236842,7.69E-05
112,0.072236842,7.85E-05
113,0.073552632,7.85E-05
114,0.073552632,8.01E-05
115,0.074276316,8.01E-05
116,0.074276316,8.18E-05
117,0.074342105,8.18E-05
118,0.074342105,8.34E-05
119,0.074407895,8.34E-05
120,0.074407895,8.50E-05
121,0.074736842,8.50E-05
122,0.074736842,8.67E-05
123,0.075131579,8.67E-05
124,0.075131579,8.83E-05
125,0.077039474,8.83E-05
126,0.077039474,9.16E-05
127,0.077960526,9.16E-05
128,0.077960526,9.32E-05
129,0.078421053,9.32E-05
130,0.078421053,9.48E-05
131,0.078486842,9.48E-05
132,0.078486842,9.81E-05
133,0.078947368,9.81E-05
134,0.078947368,9.97E-05
135,0.079276316,9.97E-05
136,0.079276316,0.000101377
137,0.079802632,0.000101377
138,0.079802632,0.000103012
139,0.080328947,0.000103012
140,0.080328947,0.000104647
141,0.081052632,0.000104647
142,0.081052632,0.000107917
143,0.081578947,0.000107917
144,0.081578947,0.000109552
145,0.081973684,0.000109552
146,0.081973684,0.000112823
147,0.082434211,0.000112823
148,0.082434211,0.000117728
149,0.083092105,0.000117728
150,0.083092105,0.000119363
151,0.083157895,0.000119363
152,0.083157895,0.000120998
153,0.083486842,0.000120998
154,0.083486842,0.000122633
155,0.083552632,0.000122633
156,0.083552632,0.000124268
157,0.083815789,0.000124268
158,0.083815789,0.000125903
159,0.084276316,0.000125903
160,0.084276316,0.000129174
161,0.084671053,0.000129174
162,0.084671053,0.000130809
163,0.084868421,0.000130809
164,0.084868421,0.000132444
165,0.084934211,0.000132444
166,0.084934211,0.000134079
167,0.086644737,0.000134079
168,0.086644737,0.000135714
169,0.086710526,0.000135714
170,0.086710526,0.000137349
171,0.087171053,0.000137349
172,0.087171053,0.000138984
173,0.087828947,0.000138984
174,0.087828947,0.000142254
175,0.088881579,0.000142254
176,0.088881579,0.00014389
177,0.089210526,0.00014389
178,0.089210526,0.000145525
179,0.089276316,0.000145525
180,0.089276316,0.00014716
181,0.089802632,0.00014716
182,0.089802632,0.000148795
183,0.090657895,0.000148795
184,0.090657895,0.00015043
185,0.091447368,0.00015043
186,0.091447368,0.000152065
187,0.091644737,0.000152065
188,0.091644737,0.000155335
189,0.091776316,0.000155335
190,0.091776316,0.00015697
191,0.091973684,0.00015697
192,0.091973684,0.000158606
193,0.092697368,0.000158606
194,0.092697368,0.000160241
195,0.092960526,0.000160241
196,0.092960526,0.000161876
197,0.093355263,0.000161876
198,0.093355263,0.000163511
199,0.093618421,0.000163511
200,0.093618421,0.000165146
201,0.094013158,0.000165146
202,0.094013158,0.000168416
203,0.094210526,0.000168416
204,0.094210526,0.000171686
205,0.095,0.000171686
206,0.095,0.000173322
207,0.095197368,0.000173322
208,0.095197368,0.000174957
209,0.095657895,0.000174957
210,0.095657895,0.000176592
211,0.096118421,0.000176592
212,0.096118421,0.000178227
213,0.09625,0.000178227
214,0.09625,0.000179862
215,0.096447368,0.000179862
216,0.096447368,0.000181497
217,0.097434211,0.000181497
218,0.097434211,0.000183132
219,0.0975,0.000183132
220,0.0975,0.000184767
221,0.097960526,0.000184767
222,0.097960526,0.000189673
223,0.099144737,0.000189673
224,0.099144737,0.000191308
225,0.099802632,0.000191308
226,0.099802632,0.000192943
227,0.099934211,0.000192943
228,0.099934211,0.000194578
229,0.1,0.000194578
230,0.1,0.000196213
231,0.100460526,0.000196213
232,0.100460526,0.000197848
233,0.100657895,0.000197848
234,0.100657895,0.000199483
235,0.101052632,0.000199483
236,0.101052632,0.000202754
237,0.101052632,0.000204389
238,0.10125,0.000204389
239,0.10125,0.000207659
240,0.101644737,0.000207659
241,0.101644737,0.000209294
242,0.101907895,0.000209294
243,0.101907895,0.000212564
244,0.102236842,0.000212564
245,0.102236842,0.000215834
246,0.1025,0.000215834
247,0.1025,0.00021747
248,0.102960526,0.00021747
249,0.102960526,0.00022074
250,0.103092105,0.00022074
251,0.103092105,0.000222375
252,0.103223684,0.000222375
253,0.103223684,0.00022401
254,0.103552632,0.00022401
255,0.103552632,0.000225645
256,0.104144737,0.000225645
257,0.104144737,0.00023055
258,0.104605263,0.00023055
259,0.104736842,0.00023055
260,0.104736842,0.000232185
261,0.104934211,0.000232185
262,0.104934211,0.000235456
263,0.105855263,0.000235456
264,0.105855263,0.000237091
265,0.106973684,0.000237091
266,0.106973684,0.000238726
267,0.107105263,0.000238726
268,0.107105263,0.000240361
269,0.107236842,0.000240361
270,0.107236842,0.000241996
271,0.107302632,0.000241996
272,0.107302632,0.000243631
273,0.107697368,0.000243631
274,0.107697368,0.000245266
275,0.108552632,0.000245266
276,0.108552632,0.000248537
277,0.108684211,0.000248537
278,0.108684211,0.000250172
279,0.108815789,0.000250172
280,0.108815789,0.000253442
281,0.108881579,0.000253442
282,0.108881579,0.000255077
283,0.109078947,0.000255077
284,0.109078947,0.000258347
285,0.109144737,0.000258347
286,0.109144737,0.000259982
287,0.109210526,0.000259982
288,0.109210526,0.000261617
289,0.109276316,0.000261617
290,0.109276316,0.000263253
291,0.109671053,0.000263253
292,0.109671053,0.000264888
293,0.11,0.000264888
294,0.11,0.000266523
295,0.110131579,0.000266523
296,0.110131579,0.000268158
297,0.110197368,0.000268158
298,0.110197368,0.000269793
299,0.110394737,0.000269793
300,0.110394737,0.000271428
301,0.110526316,0.000271428
302,0.110526316,0.000273063
303,0.110592105,0.000273063
304,0.110592105,0.000274698
305,0.110789474,0.000274698
306,0.110789474,0.000276333
307,0.111052632,0.000276333
308,0.111052632,0.000277969
309,0.111184211,0.000277969
310,0.111184211,0.000279604
311,0.111710526,0.000279604
312,0.111710526,0.000281239
313,0.111776316,0.000281239
314,0.111776316,0.000282874
315,0.111842105,0.000282874
316,0.111842105,0.000284509
317,0.112302632,0.000284509
318,0.112302632,0.000286144
319,0.112368421,0.000286144
320,0.112368421,0.000287779
321,0.112434211,0.000287779
322,0.112434211,0.000289414
323,0.113157895,0.000289414
324,0.113157895,0.000291049
325,0.113421053,0.000291049
326,0.113421053,0.000292685
327,0.113881579,0.000292685
328,0.113881579,0.00029432
329,0.114078947,0.00029432
330,0.114078947,0.000295955
331,0.114736842,0.000295955
332,0.114736842,0.00029759
333,0.115657895,0.00029759
334,0.115657895,0.000299225
335,0.115921053,0.000299225
336,0.115921053,0.00030086
337,0.116118421,0.00030086
338,0.116118421,0.000302495
339,0.11625,0.000302495
340,0.11625,0.00030413
341,0.117631579,0.00030413
342,0.117631579,0.000305765
343,0.117697368,0.000305765
344,0.117697368,0.000307401
345,0.118026316,0.000307401
346,0.118026316,0.000309036
347,0.118223684,0.000309036
348,0.118223684,0.000310671
349,0.118552632,0.000310671
350,0.118552632,0.000312306
351,0.118618421,0.000312306
352,0.118618421,0.000313941
353,0.118815789,0.000313941
354,0.118815789,0.000315576
355,0.119473684,0.000315576
356,0.119473684,0.000317211
357,0.119934211,0.000317211
358,0.119934211,0.000318846
359,0.120723684,0.000318846
360,0.120723684,0.000320481
361,0.121184211,0.000320481
362,0.121184211,0.000322116
363,0.121447368,0.000322116
364,0.121447368,0.000323752
365,0.121842105,0.000323752
366,0.121842105,0.000325387
367,0.122763158,0.000325387
368,0.122763158,0.000327022
369,0.123026316,0.000327022
370,0.123026316,0.000328657
371,0.123815789,0.000328657
372,0.123815789,0.000330292
373,0.124342105,0.000330292
374,0.124342105,0.000331927
375,0.124671053,0.000331927
376,0.124671053,0.000333562
377,0.124934211,0.000333562
378,0.124934211,0.000335197
379,0.125657895,0.000335197
380,0.125657895,0.000336832
381,0.125723684,0.000336832
382,0.125723684,0.000338468
383,0.125855263,0.000338468
384,0.125855263,0.000340103
385,0.12625,0.000340103
386,0.12625,0.000343373
387,0.126578947,0.000343373
388,0.126578947,0.000345008
389,0.126644737,0.000345008
390,0.126644737,0.000346643
391,0.127171053,0.000346643
392,0.127171053,0.000348278
393,0.128092105,0.000348278
394,0.128092105,0.000349913
395,0.128421053,0.000349913
396,0.128421053,0.000351548
397,0.128552632,0.000351548
398,0.128552632,0.000353184
399,0.128618421,0.000353184
400,0.128618421,0.000354819
401,0.128684211,0.000354819
402,0.128684211,0.000356454
403,0.128815789,0.000356454
404,0.128815789,0.000362994
405,0.129078947,0.000362994
406,0.129078947,0.000364629
407,0.129276316,0.000364629
408,0.129276316,0.0003679
409,0.129342105,0.0003679
410,0.129342105,0.000376075
411,0.129736842,0.000376075
412,0.129736842,0.000379345
413,0.129802632,0.000379345
414,0.129802632,0.00038098
415,0.129868421,0.00038098
416,0.129868421,0.000382616
417,0.130263158,0.000382616
418,0.130263158,0.000384251
419,0.130460526,0.000384251
420,0.130460526,0.000385886
421,0.131118421,0.000385886
422,0.131118421,0.000387521
423,0.131184211,0.000387521
424,0.131184211,0.000390791
425,0.131973684,0.000390791
426,0.131973684,0.000392426
427,0.132105263,0.000392426
428,0.132105263,0.000394061
429,0.1325,0.000394061
430,0.1325,0.000395696
431,0.132565789,0.000395696
432,0.132565789,0.000398967
433,0.132697368,0.000398967
434,0.132697368,0.000403872
435,0.132960526,0.000403872
